Avalanche Grain Count,  Number Avalanches
1, 75454
2, 9650
3, 4355
4, 2330
5, 1460
6, 941
7, 646
8, 506
9, 385
10, 275
11, 213
12, 202
13, 153
14, 163
15, 126
16, 110
17, 103
18, 96
19, 97
20, 79
21, 89
22, 66
23, 66
24, 73
25, 56
26, 70
27, 71
28, 44
29, 53
30, 60
31, 44
32, 51
33, 35
34, 43
35, 49
36, 47
37, 33
38, 28
39, 46
40, 31
41, 33
42, 35
43, 38
44, 39
45, 26
46, 23
47, 28
48, 24
49, 26
50, 28
51, 24
52, 24
53, 23
54, 26
55, 28
56, 23
57, 25
58, 17
59, 19
60, 18
61, 18
62, 14
63, 16
64, 19
65, 17
66, 11
67, 16
68, 22
69, 15
70, 12
71, 11
72, 12
73, 11
74, 13
75, 9
76, 15
77, 7
78, 16
79, 18
80, 19
81, 9
82, 16
83, 5
84, 10
85, 18
86, 8
87, 8
88, 12
89, 11
90, 10
91, 10
92, 19
93, 9
94, 9
95, 6
96, 14
97, 13
98, 6
99, 9
100, 6
101, 8
102, 5
103, 4
104, 3
105, 8
106, 6
107, 5
108, 7
109, 9
110, 8
111, 6
112, 8
113, 6
114, 8
115, 4
116, 15
117, 4
118, 5
119, 5
120, 9
121, 7
122, 5
123, 5
124, 7
125, 11
126, 7
127, 2
128, 4
129, 6
130, 8
131, 4
132, 4
133, 6
134, 5
135, 6
136, 7
137, 3
138, 5
139, 4
140, 2
141, 5
142, 5
143, 5
144, 3
145, 3
147, 1
148, 2
149, 6
150, 1
151, 2
152, 4
153, 2
154, 2
155, 1
156, 5
157, 5
158, 1
159, 2
160, 1
161, 5
162, 1
163, 7
164, 1
165, 1
166, 2
167, 5
169, 6
170, 6
171, 2
173, 4
174, 1
175, 2
176, 3
177, 1
178, 2
179, 7
180, 3
181, 1
182, 1
183, 3
184, 1
185, 1
186, 8
187, 3
188, 3
189, 5
190, 3
191, 1
192, 4
193, 3
194, 5
195, 2
197, 1
198, 3
199, 1
201, 1
202, 2
204, 1
205, 1
206, 1
207, 2
208, 3
209, 2
210, 1
211, 1
212, 3
213, 1
214, 1
215, 1
216, 1
217, 2
218, 1
219, 2
220, 2
221, 3
222, 2
223, 1
224, 1
230, 3
231, 2
232, 1
233, 1
234, 1
235, 1
237, 3
238, 1
239, 1
240, 1
241, 1
242, 1
244, 2
245, 1
246, 3
247, 2
248, 2
252, 3
254, 1
255, 1
256, 3
258, 3
260, 1
261, 1
262, 1
263, 1
265, 1
271, 3
272, 3
273, 2
275, 3
277, 1
278, 1
279, 2
280, 2
281, 1
282, 1
283, 2
285, 2
289, 1
290, 4
292, 2
298, 1
301, 1
302, 2
304, 1
305, 1
307, 1
309, 1
310, 2
312, 2
316, 2
317, 2
320, 2
324, 1
333, 1
335, 1
336, 2
339, 1
343, 1
344, 2
345, 1
346, 2
351, 2
353, 2
356, 1
362, 1
365, 1
369, 2
380, 1
382, 1
387, 1
391, 1
404, 1
410, 1
416, 1
422, 1
431, 2
433, 1
447, 1
450, 2
455, 1
466, 1
476, 1
496, 1
506, 1
535, 1
591, 1
605, 1
